"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","WindkmhGust","PresslevHp","Precmm","TotClOct","lowClOct","SunD1h","VisKm","PreselevHp","SnowDepcm"
3590,2023-12-31,8.7,10.6,4.4,7.2,89.6,"S",25,63,999,6.2,8,8,"0.0",26.3,NA,NA
3590,2023-12-30,6.6,9.7,4.4,4.2,85.5,"WSW",22.7,50,1006.9,0.4,4.6,6.5,"1.1",48.3,NA,NA
3590,2023-12-29,9.9,11.4,6.9,6,77.2,"SW",32.8,61.2,1003.6,0.8,6.5,6.7,"0.1",26.7,NA,NA
3590,2023-12-28,9.9,11.5,4,7.5,84.6,"SSW",32.2,70.4,1003.2,2.8,6.8,7.1,"0.0",25.1,NA,NA
3590,2023-12-27,5.8,10.6,3.9,3.7,86.4,"SW",13.2,37.1,1016.4,2,4,6.9,"3.2",30.1,NA,NA
3590,2023-12-26,9.8,12.7,6.3,7.6,86.9,"WSW",23.5,46.3,1006.2,4.4,6.5,7.4,"0.0",45.8,NA,NA
3590,2023-12-25,12.5,14.3,9.5,10.1,85.3,"WSW",34.1,72.3,1003.1,0.8,7.8,7.8,"0.0",61.8,NA,NA
3590,2023-12-24,10,12,8.4,7,81.5,"WSW",32.7,61.2,1008.1,0.8,5,6.7,"2.9",72.9,NA,NA
3590,2023-12-23,9.6,10.8,8.1,6.5,81.2,"W",34.1,68.6,1010.1,0,8,8,"0.0",69.4,NA,NA
3590,2023-12-22,10,12.6,8.1,6.2,78.2,"WNW",37.5,77.8,1005,2,7.5,7.5,"1.4",34.3,NA,NA
3590,2023-12-21,8.7,11,4.1,6.4,84.7,"W",33.3,59.3,1011.5,0,7.1,7.4,"0.4",56.4,NA,NA
3590,2023-12-20,7,11.6,4.1,5.4,90.4,"WNW",20.4,42.6,1018.4,NA,4,6.9,"0.0",28.4,NA,NA
3590,2023-12-19,10.5,11.6,6.9,8.8,88.8,"SW",25.7,46.3,1023.9,5,8,8,"0.0",22,NA,NA
3590,2023-12-18,8.1,10.4,6.9,5.8,85.5,"SW",24.5,51.9,1031,0,3.3,4.9,"3.8",32.3,NA,NA
3590,2023-12-17,9.5,10.4,5,8.2,91.6,"WSW",24.4,48.2,1036.3,0,8,8,"0.0",44,NA,NA
3590,2023-12-16,6.5,8.2,4.6,4.4,86.7,"WSW",14.8,37.1,1036.7,0,5.9,7,"0.0",23.4,NA,NA
3590,2023-12-15,5.1,7,1.6,3.9,91.3,"WSW",12.4,25.9,1024.5,0,7.8,7.8,"0.0",21.8,NA,NA
3590,2023-12-14,5.6,8.1,1.6,4.4,93.2,"NNW",21.5,53.7,1007.5,0.2,7.2,7.5,"0.0",17.1,NA,NA
3590,2023-12-13,8.3,11,5.6,7.5,94.6,"SSW",13.1,37.1,995.4,NA,7.1,7.4,"0.3",24.5,NA,NA
3590,2023-12-12,7.9,10.4,5.6,5.6,85.5,"WSW",15.9,46.3,1004.2,0.6,6.8,7.1,"1.6",45.2,NA,NA
3590,2023-12-11,8.6,10.4,5.4,6.2,84.6,"WSW",26.9,72.3,997.9,4.8,6.3,6.9,"0.0",26.7,NA,NA
3590,2023-12-10,8.6,11.9,6.2,5.1,79.6,"WSW",37.2,83.4,994.6,7.8,5,6.7,"0.0",25.7,NA,NA
3590,2023-12-09,7.5,9.9,5,6.1,91.1,"SSW",16.3,31.5,1004.4,0,4.4,5.2,"4.2",15.7,NA,NA
3590,2023-12-08,5.6,7.2,1.1,4.6,92.6,"SSE",22.3,46.3,1005.4,9.2,7.8,7.8,"0.0",7.8,NA,NA
3590,2023-12-07,2.4,5.5,-1.9,1.3,91.5,"SSE",8.7,25.9,1017.2,0.2,3,8,"6.5",13.2,NA,NA
3590,2023-12-06,3.3,6.3,-1,2.1,92.6,"NNW",14.2,35.2,1011.5,0.4,3.8,5.8,"0.0",16.7,NA,NA
3590,2023-12-05,4.8,7,4.2,4.2,96,"ENE",16.1,38.9,998.9,1.8,8,8,"0.0",7,NA,NA
3590,2023-12-04,4.8,7,-4.1,3.9,93,"S",17.1,42.6,1008,9.6,8,8,"0.0",12.9,NA,NA
3590,2023-12-03,-2.4,2.2,-4.1,-2.8,96.4,"SW",10,25.9,1016.2,0.2,8,8,"0.0",3.6,NA,NA
3590,2023-12-02,-0.2,4.1,-3.8,-1.5,91.3,"N",11.2,22.2,1010.2,0.2,5,6.7,"5.6",20.9,NA,NA
3590,2023-12-01,-0.2,4.1,-3.6,-1.9,88.3,"N",11.9,27.8,1004.3,0.2,0.7,3.2,"6.5",42.1,NA,NA
3590,2023-11-30,-1.1,3,-4,-2.3,91.6,"NW",8,16.7,1003.7,0,1.3,5.2,"5.9",13.5,NA,NA
3590,2023-11-29,1.9,5.3,-0.6,0.4,90.3,"WNW",13.7,25.9,1008,1.2,2.2,4.2,"6.2",26.3,NA,NA
3590,2023-11-28,4.6,6.3,1.8,3.7,94.7,"N",16.8,35.2,1000.7,NA,5.9,6.4,"0.0",21.8,NA,NA
3590,2023-11-27,3.7,6.3,-1,2.9,93.2,"SSW",6.8,20.4,1010.1,6.4,8,8,"0.0",7.2,NA,NA
3590,2023-11-26,1.8,5.1,-1,-0.7,83.9,"NW",15.4,37.1,1019.4,0,1.4,4.1,"7.4",41.8,NA,NA
3590,2023-11-25,3.7,11.6,0.6,-0.9,73.2,"NW",26.9,53.7,1019.6,0,3.6,5.1,"4.2",52.9,NA,NA
3590,2023-11-24,10.4,13.2,5.9,6.5,78.6,"WNW",28.3,61.2,1020.6,0,4.7,6.4,"5.1",51.6,NA,NA
3590,2023-11-23,7.4,11,2.9,6.3,91.3,"WSW",17.4,33.4,1027,0,4.6,5.8,"0.1",44.9,NA,NA
3590,2023-11-22,7.3,10.6,3.2,6.2,93.4,"NNW",16.7,44.5,1026.1,0.6,7.2,7.9,"0.0",20,NA,NA
3590,2023-11-21,9.2,11.1,6.9,8,91.5,"NW",14.6,37.1,1010.5,1.8,6.3,6.9,"4.5",15.7,NA,NA
3590,2023-11-20,10.6,13.1,6.9,7.9,83.9,"WSW",26.3,57.4,1006.3,0,5.4,6.2,"2.4",32.8,NA,NA
3590,2023-11-19,11.7,14.1,6.1,10.3,90.6,"SW",23,48.2,1007.6,NA,6.8,6.8,"0.0",25.4,NA,NA
3590,2023-11-18,6.7,9.4,2.3,4.9,88,"SSW",12,44.5,1019.5,7,4,6.5,"6.9",23.9,NA,NA
3590,2023-11-17,6.2,8.1,2.9,5.5,95.3,"NW",9.4,22.2,1014.2,1.2,7.7,7.7,"0.0",11.8,NA,NA
3590,2023-11-16,6.9,10.7,2.9,4.3,83.9,"WSW",17.8,50,1015.4,0.2,4.2,6.3,"5.8",46,NA,NA
3590,2023-11-15,8.8,11.6,5.7,7.4,91.2,"WSW",18.9,37.1,1005.6,2,2.9,4.7,"0.2",25,NA,NA
3590,2023-11-14,11.4,15.3,8.1,8,80.3,"WSW",34.4,87.1,997.1,NA,3,4.1,"4.1",26.6,NA,NA
3590,2023-11-13,7.6,9.4,2.4,6.8,93.5,"SSE",10.5,27.8,1003.7,6,7.3,7.3,"0.0",24.5,NA,NA
3590,2023-11-12,5.1,9,1.2,3.8,90.9,"NW",10.4,31.5,1006,0.2,1.2,2.8,"6.8",34.9,NA,NA
3590,2023-11-11,4.6,7.6,1.2,3.3,91.4,"WNW",13,27.8,999.1,0,3.6,6.2,"1.1",31.9,NA,NA
3590,2023-11-10,6.6,10.2,3.6,4.5,86.5,"SSW",16.5,35.2,994,0,3.3,5.3,"3.0",46.5,NA,NA
3590,2023-11-09,7.7,12.1,3.6,6.6,92.8,"SSW",14.9,50,1001.8,4.4,7.5,7.5,"0.0",21.3,NA,NA
3590,2023-11-08,7.3,11.4,4,5.7,89.5,"WSW",15.8,37.1,1008.2,0,3.7,5.9,"6.8",44.9,NA,NA
3590,2023-11-07,7.7,12.3,4.2,5.4,86.6,"SW",16.7,42.6,1000.8,0,0.6,3.5,"7.1",42.3,NA,NA
3590,2023-11-06,8.6,11.7,6.6,6.3,85.6,"WSW",21.6,53.7,985.9,0.2,5.1,6.2,"3.2",44.2,NA,NA
3590,2023-11-05,8.5,12,4.7,7.6,93,"S",16.4,53.7,967.5,7.4,5.3,6.7,"1.7",17.3,NA,NA
3590,2023-11-04,7.8,11.7,4.7,6.2,89.9,"SW",17.2,42.6,981.3,0.2,3.5,4.4,"2.8",34.6,NA,NA
3590,2023-11-03,9.3,11.7,6.9,7.9,91.6,"WSW",30,59.3,967.4,NA,7.5,7.5,"0.0",22.4,NA,NA
3590,2023-11-02,11,13.4,8.8,9,87.9,"S",24.2,63,983.8,16.6,6.2,7.5,"1.0",24,NA,NA
3590,2023-11-01,10.4,12.8,4.8,9.5,93,"S",10.4,37.1,999.7,2.6,7.2,7.2,"0.8",32.1,NA,"1"
3590,2023-10-31,9.4,13.8,4.8,8,91.1,"SSW",9.3,24.1,996.6,0,3.2,5.5,"2.7",20.5,NA,NA
3590,2023-10-30,9.5,12.8,8,8,90.1,"SSW",15.9,48.2,991,NA,3,4.8,"4.1",41.8,NA,NA
3590,2023-10-29,11.4,14.5,8.3,9.8,89.9,"S",18.5,44.5,986.7,30.8,5.6,6.1,"4.6",33.9,NA,NA
3590,2023-10-28,9.2,12.9,4.8,8.3,93,"S",10.3,24.1,990.2,0.2,4.5,6.4,"2.3",30.6,NA,NA
3590,2023-10-27,10,13.9,4.9,8.9,93.7,"S",9.5,33.4,990.5,3.8,4.9,7.3,"1.0",19.8,NA,NA
3590,2023-10-26,8.6,13.1,5.2,7.4,91.9,"NNE",9,20.4,995.3,0.8,5.4,7.6,"3.6",17.2,NA,NA
3590,2023-10-25,8.9,13.1,5.2,7.8,92.9,"W",9.3,29.7,999.6,2.4,4.5,6.8,"2.6",29.5,NA,NA
3590,2023-10-24,10.8,14.4,7.4,9,89,"E",9.7,29.7,1005.8,7.6,4.9,6.2,"1.4",21.2,NA,NA
3590,2023-10-23,9.9,14.3,5.4,7,82.1,"SSW",10.5,27.8,1008.2,0.2,0.5,2.4,"8.6",53.4,NA,NA
3590,2023-10-22,11,15.2,6,9.8,93.1,"SW",16.7,40.8,990.2,6.4,6.7,7.7,"0.4",36.7,NA,NA
3590,2023-10-21,12.7,15.7,10.8,12.1,96.9,"SSE",10.5,40.8,977.5,NA,7.2,7.2,"0.0",12.8,NA,NA
3590,2023-10-20,15.8,17.7,13.4,14.4,91.8,"SE",17.5,38.9,982.7,27.8,7.7,7.7,"0.7",18.8,NA,NA
3590,2023-10-19,13.9,16.1,10.4,12.7,92.2,"SE",25.2,55.6,991.4,33.6,6.9,6.9,"0.6",23.6,NA,NA
3590,2023-10-18,11.5,13.7,8.2,7,74,"E",19.9,46.3,1012.6,0,4.2,5.6,"7.6",42,NA,NA
3590,2023-10-17,9.1,11.9,2.1,6,80.1,"ENE",10,20.4,1020.6,0,5.4,6.5,"3.3",48.8,NA,NA
3590,2023-10-16,5.3,9,2.1,0.8,73.5,"NW",9.8,31.5,1025.4,0,0.3,NA,"9.7",64.4,NA,NA
3590,2023-10-15,7.7,12.2,3.1,3.6,76.4,"WNW",18.5,42.6,1019.1,0.6,0.5,2,"9.4",60.8,NA,NA
3590,2023-10-14,13.5,20.4,6.3,10.7,85.2,"WSW",27.8,59.3,1002.3,NA,4.2,6.7,"1.1",29.8,NA,NA
3590,2023-10-13,13.6,16.4,11.2,13.3,96.9,"SSW",13.7,46.3,1009.3,NA,7.9,7.9,"0.0",7.4,NA,NA
3590,2023-10-12,15.7,20.1,11.2,13.8,89.2,"WSW",16.1,46.3,1011.3,15,7.4,7.4,"0.3",18.2,NA,NA
3590,2023-10-11,17.4,24.2,12.3,13.2,77.2,"SW",19.1,38.9,1013.9,0,3.6,6.2,"8.1",27.3,NA,NA
3590,2023-10-10,17.4,24.5,11.8,13,76,"SW",9.4,20.4,1019.8,0,0.8,3.8,"6.9",28.8,NA,NA
3590,2023-10-09,16.7,23.3,11.8,11.2,70.8,"SW",10.4,20.4,1022.3,0,3.6,6.7,"7.8",46.7,NA,NA
3590,2023-10-08,17.2,22.4,12.6,12.2,72.4,"WSW",17.3,40.8,1022.1,0,1.5,3.6,"6.7",42.9,NA,NA
3590,2023-10-07,16.6,21,12.8,12.9,79.3,"SW",19.4,42.6,1021.2,0,4.7,6.6,"6.1",49.9,NA,NA
3590,2023-10-06,14.6,18.7,11,10.7,77.5,"SW",19.5,35.2,1022.7,0,5.1,6.4,"5.0",49.4,NA,NA
3590,2023-10-05,13.2,16.9,9.3,9.8,79.9,"WSW",18.9,46.3,1023.9,0,5,6.4,"2.9",51.9,NA,NA
3590,2023-10-04,12.6,17.3,9.3,9.4,81.7,"WSW",18.5,46.3,1021.5,0.4,4,6.4,"4.5",47.2,NA,NA
3590,2023-10-03,16.5,20.1,11.3,15,92.1,"SW",12.7,46.3,1013,5.6,7.9,7.9,"0.0",23.5,NA,NA
3590,2023-10-02,17.7,21.4,13.7,15.6,87.2,"SW",13.4,35.2,1019.1,0,6,6.5,"0.5",25.5,NA,NA
3590,2023-10-01,15.1,17.8,8.5,10.9,76,"SSW",14.6,40.8,1022.8,0,5.2,6.2,"4.9",38.8,NA,NA
3590,2023-09-30,13.7,18.6,8.5,10,80.2,"W",14,38.9,1021.5,NA,4,5.3,"8.3",40.9,NA,NA
3590,2023-09-29,16.4,19.2,13.8,12.4,77.8,"SSW",16.4,38.9,1012.3,8.8,6.2,7.1,"1.6",27,NA,NA
3590,2023-09-28,16.9,20.3,12.4,13.3,78.9,"S",20.6,51.9,1011.9,0,5.9,6.2,"2.2",32.4,NA,NA
3590,2023-09-27,16.8,22.8,12.1,13.7,82.6,"SSW",13.7,40.8,1016.9,1.8,5.4,6.1,"4.1",37.4,NA,NA
3590,2023-09-26,16.5,21.5,12.1,11.7,75.1,"SSW",12.6,31.5,1019.3,0,3.3,4.6,"9.4",35.8,NA,NA
3590,2023-09-25,16.5,19.8,11,12.1,74.8,"S",20.5,44.5,1017.2,0,6.6,7.2,"3.2",43.5,NA,NA
3590,2023-09-24,12.9,17,7.5,8.5,74.5,"SW",13.9,31.5,1017.6,0,4.1,5.5,"6.4",57.2,NA,NA
3590,2023-09-23,12,17.7,7.5,9,83.6,"W",15.1,42.6,1004,NA,3.5,5.2,"6.4",52.8,NA,NA
3590,2023-09-22,12.7,16.8,9,10.2,86.1,"SSW",9.4,29.7,996.1,NA,4.9,6.5,"1.6",41.3,NA,NA
3590,2023-09-21,16.1,20.9,11.6,13.4,85.5,"SSW",24.5,66.7,996.4,20.2,7.7,7.7,"1.8",29.2,NA,NA
3590,2023-09-20,16.9,18.5,10.8,13.7,80.1,"SW",32.4,68.6,1002.7,0,7.8,7.8,"0.3",49,NA,NA
3590,2023-09-19,14.7,19.9,10.8,11.5,81.7,"SW",20.6,59.3,1002.6,4,5.4,6.8,"3.5",50.8,NA,NA
3590,2023-09-18,17.5,19.2,14.4,15.7,89,"ESE",15.1,48.2,1007.4,1.8,7.5,7.5,"0.9",20.9,NA,NA
3590,2023-09-17,17.7,24,12.9,14.8,83.6,"NE",16.5,31.5,1014.3,0,3.8,5.6,"8.1",12.3,NA,NA
3590,2023-09-16,18,23.6,12.2,13.3,75.1,"ESE",11.2,33.4,1014,0,0.8,2.1,"10.9",35.3,NA,NA
3590,2023-09-15,16.8,21.9,11.3,13,79.4,"S",10.8,29.7,1019.1,0,1.6,4.8,"8.3",38.5,NA,NA
3590,2023-09-14,15.3,19.2,11.3,11,76.1,"ENE",11.4,31.5,1021.9,0,5.7,5.9,"6.1",41.3,NA,NA
3590,2023-09-13,16.8,21.3,12.6,15.1,90.3,"N",12.3,44.5,1014.8,20.2,8,8,"1.2",26.5,NA,NA
3590,2023-09-12,19.8,25.8,15.9,15.1,75.4,"WSW",13.1,33.4,1012.5,0,5.1,6.2,"5.0",49.5,NA,NA
3590,2023-09-11,23.1,30.4,16.3,17.2,70.5,"S",11,31.5,1013.6,0,1.8,6.1,"9.9",27.4,NA,NA
3590,2023-09-10,22.9,30.4,16.3,16,66.7,"SSE",8.4,27.8,1015.9,0,0,NA,"10.6",22.9,NA,NA
3590,2023-09-09,22.5,28.9,14.3,17.5,74.5,"S",6.7,18.5,1015.9,0,3,4,"6.2",15.4,NA,NA
3590,2023-09-08,21.1,28.5,14.3,15.5,72.7,"ESE",8.7,31.5,1016.6,0,0.4,3.3,"11.6",21.1,NA,NA
3590,2023-09-07,21.2,30,14.4,17,78.4,"ENE",8.5,18.5,1018.9,0,0.1,NA,"10.0",18.3,NA,NA
3590,2023-09-06,19.9,27.1,14,14.7,74.1,"ENE",11.1,27.8,1017.9,0,0,NA,"12.0",26.9,NA,NA
3590,2023-09-05,19.2,25.3,14,14.4,75.9,"E",13.7,25.9,1021.7,0,0,NA,"12.3",19.9,NA,NA
3590,2023-09-04,17.3,22.1,11.5,15.2,87.1,"ESE",8.1,18.5,1027,0.2,2.8,6.7,"3.6",9.7,NA,NA
3590,2023-09-03,16.7,21.3,11.5,13.8,84.1,"ENE",11.1,27.8,1024,0,3.1,6.2,"5.3",25.8,NA,NA
3590,2023-09-02,16.8,21,13.8,15.5,91.9,"ENE",10.4,20.4,1013.5,NA,8,8,"1.2",12.9,NA,NA
3590,2023-09-01,15,18.8,6.6,11.6,80.4,"S",8.4,25.9,1009.6,0.8,6.4,7,"7.0",34.2,NA,NA
3590,2023-08-31,12.2,18.7,6.6,9.2,83,"W",12.7,51.9,1008.1,0.6,3,4.8,"8.1",31.3,NA,NA
3590,2023-08-30,14.8,18.7,9.2,10.2,75.9,"WSW",12.1,31.5,1009.3,2,7,8,"1.6",21.4,NA,NA
3590,2023-08-29,14.4,20,8.6,9.9,75.2,"NW",9.7,25.9,1013.7,0,4.8,5.8,"6.7",22.8,NA,NA
3590,2023-08-28,13.9,19.2,8.6,10.4,79.5,"W",13.9,38.9,1010.9,3.2,5.5,6.7,"5.5",28.9,NA,NA
3590,2023-08-27,13.9,20.7,10.2,10.6,82.2,"WSW",12.7,33.4,1008.1,11.4,5.3,6.3,"6.6",35.3,NA,NA
3590,2023-08-26,15.7,20.6,10.8,9.2,67.4,"WSW",11.6,37.1,1008.3,0,5.6,5.8,"7.1",62.5,NA,NA
3590,2023-08-25,18.6,24.3,13,14.3,77.4,"W",12,27.8,1010,2.4,6.5,7,"1.6",47.9,NA,NA
3590,2023-08-24,18.8,25,11.9,13.9,74.1,"SSE",9.8,25.9,1017.9,0,5.2,6.3,"9.7",48.1,NA,NA
3590,2023-08-23,18.1,24.8,11.9,12.8,73.4,"WSW",13.7,37.1,1019.8,0,3.6,5.4,"8.1",54.2,NA,NA
3590,2023-08-22,18.1,24.1,12,14,77.5,"SW",12.7,29.7,1021.3,0,1.9,3.5,"11.9",40.6,NA,NA
3590,2023-08-21,17.9,24.2,12,13.1,75.3,"SW",12.8,40.8,1022.1,0,3.2,6.3,"6.5",45.4,NA,NA
3590,2023-08-20,18.6,24.5,12.3,13.6,75,"SW",17.9,46.3,1016.6,NA,2.4,4.5,"9.9",41.5,NA,NA
3590,2023-08-19,19,21.3,16.3,16.4,85.5,"ESE",14.9,31.5,1012.1,17.6,6.8,7,"1.2",15.8,NA,NA
3590,2023-08-18,17.9,21.3,14,14,78.7,"ENE",17.2,35.2,1019.4,0,5.5,6.2,"10.7",29.5,NA,NA
3590,2023-08-17,18.6,24.2,12.6,13.3,73.3,"E",12,33.4,1021.1,0,1.2,4,"10.5",30.1,NA,NA
3590,2023-08-16,17.7,23.9,10.8,12.5,72.7,"WSW",9.1,31.5,1017.3,0,4.3,6.5,"7.4",50.5,NA,NA
3590,2023-08-15,17.5,23.8,10.8,14.3,82.4,"SSW",16.3,42.6,1010.8,0.2,4.7,6.6,"3.9",40,NA,NA
3590,2023-08-14,17.9,23.4,14.1,12.3,70.9,"SW",17.8,44.5,1012.7,3,7,7.3,"4.1",50.9,NA,NA
3590,2023-08-13,17.9,22,13.6,13.3,74.8,"SW",20.5,46.3,1013.3,0,6.9,6.9,"5.6",35.9,NA,NA
3590,2023-08-12,19.6,25.5,13.6,15.3,77.7,"SW",16.9,38.9,1015.8,0,6.2,6.5,"3.9",41.3,NA,NA
3590,2023-08-11,19.8,25.1,14,14,69.9,"S",14.9,33.4,1018.3,0,1.6,4.9,"13.6",45,NA,NA
3590,2023-08-10,17.4,23.4,8.7,12.1,72.6,"WSW",11.2,35.2,1018.7,0,1.2,4.1,"12.3",50.6,NA,NA
3590,2023-08-09,13.4,18.9,7.9,11,87,"W",12.5,40.8,1014,7.4,5.2,6.5,"2.4",32.1,NA,NA
3590,2023-08-08,14.6,21.5,7,8.7,69.9,"W",14.8,40.8,1016.9,0,4.3,5.5,"7.6",61.2,NA,NA
3590,2023-08-07,12.9,18.8,7,8.8,77.5,"NW",18.9,53.7,1016.7,0,3.9,6.6,"7.5",54.8,NA,NA
3590,2023-08-06,12.6,15.3,10.2,11.4,93.1,"NNW",21.9,50,1007.4,30.8,8,8,"0.0",18.4,NA,NA
3590,2023-08-05,15.3,19.9,12.3,12.9,85.3,"WNW",10.5,33.4,1015.9,4.6,7.5,7.5,"3.1",34.5,NA,NA
3590,2023-08-04,15.9,20.2,13.1,11.6,76.8,"NNW",14.9,38.9,1008.7,NA,6.8,6.8,"4.4",52.1,NA,NA
3590,2023-08-03,16.3,21.1,13.6,14.4,89.3,"W",21.1,50,988.9,NA,7.9,7.9,"1.9",40,NA,NA
3590,2023-08-02,17.1,19.9,12.4,11.9,72.5,"WSW",18,48.2,997.8,5,7.5,7.5,"3.7",46.3,NA,NA
3590,2023-08-01,16.5,19.6,12.4,13.4,83,"WSW",20.1,46.3,1001.1,1.2,6.5,6.5,"0.5",43.8,NA,NA
3590,2023-07-31,17.1,21.8,13.4,13.6,81.4,"WSW",23.9,50,1008.3,4.4,7.9,7.9,"2.4",38.2,NA,NA
3590,2023-07-30,17.7,23.9,13.4,10.7,65.3,"WSW",21.2,53.7,1006.2,0,4.2,5.4,"7.9",61.9,NA,NA
3590,2023-07-29,18,22,14.9,14.3,79.4,"SW",13.4,27.8,1005.3,0.6,7.5,7.5,"0.8",68.1,NA,NA
3590,2023-07-28,18.8,23.2,13.9,16.6,87.1,"WSW",17.8,40.8,1002.7,NA,7.1,7.1,"2.2",57.5,NA,NA
3590,2023-07-27,16.9,22.3,6.7,10.8,70.6,"SW",16.9,42.6,1008.3,17.6,5.8,6.7,"9.4",34.9,NA,NA
3590,2023-07-26,13.8,19.9,6.7,8.1,70.1,"WNW",12,31.5,1010.9,0,5.1,7.2,"2.9",52.5,NA,NA
3590,2023-07-25,13.2,18.5,9.2,10.3,84,"N",13,40.8,1007.2,NA,6.1,7.3,"0.8",23.7,NA,NA
3590,2023-07-24,18.2,23.7,13,13.9,77.8,"WSW",19.7,50,1002.1,NA,6,6.5,"5.2",45,NA,NA
3590,2023-07-23,15.4,19.3,12.3,13.2,87.5,"SSW",24.2,46.3,1006.5,10.8,8,8,"0.2",20.3,NA,NA
3590,2023-07-22,15.1,19.4,9.8,10,72.2,"W",15,38.9,1012.9,0,6.7,7.3,"5.9",47,NA,NA
3590,2023-07-21,15.3,20.7,9.5,10.9,76.5,"W",9,31.5,1014.1,2.2,6.8,7.8,"3.8",47.2,NA,NA
3590,2023-07-20,15.3,23,9.5,12.2,83.1,"WNW",11,37.1,1015.1,4,6,6.3,"3.6",47.5,NA,NA
3590,2023-07-19,17.2,22,10.6,11.6,71.3,"SW",9,25.9,1015.8,0.2,7,7.3,"4.6",49.4,NA,NA
3590,2023-07-18,16.7,23.4,10.6,9.7,65.4,"WSW",16.1,48.2,1018.2,0,4,4.8,"9.6",42.9,NA,NA
3590,2023-07-17,16.1,21.9,11.3,10.3,71,"SW",23,55.6,1011.1,0.2,5.1,6.5,"5.2",36.2,NA,NA
3590,2023-07-16,17.8,22,13.9,11.4,67.1,"SSW",33.4,72.3,1001.1,0,7.1,7.1,"7.0",33.2,NA,NA
3590,2023-07-15,16.3,18.5,12.3,14.2,87.4,"SSE",16.4,37.1,1004.9,11,6.9,6.9,"0.4",21.5,NA,NA
3590,2023-07-14,16.8,22.3,10.8,11.8,73.2,"SW",14.7,38.9,1015.2,1,5.9,6.4,"6.8",29.4,NA,NA
3590,2023-07-13,16.5,22.4,10.8,11,71.3,"WSW",19.7,53.7,1011.8,0,5.2,6.2,"9.2",42.2,NA,NA
3590,2023-07-12,18.2,24.4,12.6,12.5,71.7,"SW",18.8,46.3,1008.3,0,4.9,6.2,"4.6",39,NA,NA
3590,2023-07-11,19.8,24.5,12.4,11.9,60.9,"SSW",19.7,44.5,1015.9,0,4.8,5.7,"10.1",40,NA,NA
3590,2023-07-10,17.6,20.9,12.4,13.4,77,"SSW",12.5,29.7,1019.4,0.2,3.4,5.1,"3.5",23.8,NA,NA
3590,2023-07-09,21.8,27.8,14.4,15.4,69.1,"ESE",11.3,29.7,1016.1,0,3.2,4.1,"7.2",22.9,NA,NA
3590,2023-07-08,21.2,26.5,12.8,11.7,55.9,"ESE",16,38.9,1015.5,0,0,NA,"15.1",31.2,NA,NA
3590,2023-07-07,16.5,21.4,8.6,9.5,64,"SSW",13.6,37.1,1016.1,0,2.5,5.5,"9.2",45.7,NA,NA
